Startdatum,Starttid,Slutdatum,Sluttid,Aktivitet,Grupp,Tillfälleskod/kurskod,Lokal,Info,Personal,Program/klass 
2018-09-26,08:00,2018-09-26,12:00,Seminarium,,"DD1390, DD1391","1625, 4523, 523, F0, Interaktionsdesignstudion",,"Christian Smith, Dena Hussain, Douglas Wikström, Johan Karlander, Mads Dam, Marcus Dicander, Mårten Björkman, Olof Bälter, Stefan Nilsson, Viggo Kann, Örjan Ekeberg","CDATE1, CDATE2"
2018-09-26,12:00,2018-09-26,13:00,Övning,,IS1500,U21,,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-26,13:00,2018-09-26,15:00,Föreläsning,,ME1010,M1,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-09-26,15:00,2018-09-26,17:00,Föreläsning,DD1368 Helklass,DD1368,Q1,,Dena Hussain,"CDATE2, CLGYM3-TIKT"
2018-09-27,08:00,2018-09-27,12:00,Laboration,,IS1500,5V2Kar (Karmosin),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-27,10:00,2018-09-27,12:00,Övning,DD1368 Helklass,DD1368,"E32, E33",,Dena Hussain,CDATE2
2018-09-27,13:00,2018-09-27,17:00,Laboration,,IS1500,4V5Grö (Grön),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-27,13:00,2018-09-27,15:00,Övning,DD1368 Helklass,DD1368,"V11, V12",,Dena Hussain,CDATE2
2018-09-28,08:00,2018-09-28,10:00,Datorlaboration,DD1351 Helklass,DD1351,"4V2Röd (Röd), 4V4Gul (Gul), 5O1Spe (Spelhallen), 5O2Spo (Sporthallen), 5V1Grå (Grå), 5V2Kar (Karmosin), 5V4Mag (Magenta)",,"Alf Thomas Sjöland, Johan Karlander","CDATE2, CINTE2, CINTE3"
2018-09-28,10:00,2018-09-28,12:00,Övning,"IS1500 grupp C, IS1500 grupp D",IS1500,"Q33, Q34",,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-28,13:00,2018-09-28,15:00,Övning,"IS1500 grupp A, IS1500 grupp B",IS1500,"Q33, Q34",,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-09-28,15:00,2018-09-28,17:00,Föreläsning,DD1368 Helklass,DD1368,Q1,,Dena Hussain,"CDATE2, CLGYM3-TIKT"
2018-10-01,08:00,2018-10-01,12:00,Laboration,DD1368 Helklass,DD1368,"4V5Grö (Grön), 5O1Spe (Spelhallen), 5O2Spo (Sporthallen), 5V2Kar (Karmosin)",,,CDATE2
2018-10-01,13:00,2018-10-01,15:00,Föreläsning,,IS1500,F1 (Alfvénsalen),,David Broman,"CDATE2, CLGYM2-TIKT"
2018-10-01,15:00,2018-10-01,17:00,Föreläsning,,IS1500,Q1,,David Broman,"CDATE2, CLGYM2-TIKT"
2018-10-02,08:00,2018-10-02,12:00,Laboration,DD1368 Helklass,DD1368,"4V5Grö (Grön), 5O1Spe (Spelhallen), 5V2Kar (Karmosin), 5V4Mag (Magenta)",,,"CDATE2, CLGYM3-TIKT"
2018-10-02,08:00,2018-10-02,12:00,Laboration,,IS1500,4V2Röd (Röd),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-02,13:00,2018-10-02,15:00,Föreläsning,DD1351 Helklass,DD1351,D1,,Johan Karlander,"CDATE2, CINTE2, CINTE3"
2018-10-02,15:00,2018-10-02,17:00,Föreläsning,,ME1010,F2,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-10-03,08:00,2018-10-03,12:00,Laboration,,IS1500,5O1Spe (Spelhallen),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-03,12:00,2018-10-03,13:00,Övning,,IS1500,U21,,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-03,15:00,2018-10-03,19:00,Laboration,,IS1500,5O1Spe (Spelhallen),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-03,15:00,2018-10-03,17:00,Övning,DD1351 Helklass,DD1351,"Q31, Q33, Q34, Q36",,"Alf Thomas Sjöland, Johan Karlander","CDATE2, CINTE2, CINTE3"
2018-10-04,08:00,2018-10-04,12:00,Datorlaboration,DD1351 Helklass,DD1351,"4V2Röd (Röd), 4V5Grö (Grön), 4V6Bru (Brun), 5V1Grå (Grå), 5V2Kar (Karmosin), 5V3Vit (Vit), 5V4Mag (Magenta)",,"Alf Thomas Sjöland, Johan Karlander","CDATE2, CINTE2, CINTE3"
2018-10-04,15:00,2018-10-04,17:00,Föreläsning,DD1368 Helklass,DD1368,Q1,,Dena Hussain,"CDATE2, CLGYM3-TIKT"
2018-10-05,13:00,2018-10-05,15:00,Föreläsning,DD1351 Helklass,DD1351,E1,,Johan Karlander,"CDATE2, CINTE2, CINTE3"
